批號,品項,原料批號,生產日期,出貨對象
B1000,沙拉醬,BATCH1000,2026/1/1,A
B1001,杯裝優格,B1001,2026-02-02,C
B1002,果醬,b-1002,20260303,項目3
b-1003,蛋捲,b-1003,4 May 2026,B
BATCH1004,果醬,b-1004,20260505,B
b-1005,沙拉醬,BATCH1005,2026-06-06,A
b-1006,巧克力餅乾,BATCH1006,20260707,項目3
BATCH1007,杯裝優格,BATCH1007,2026/8/8,項目3
BATCH1008,泡芙,b-1008,9 Apr 2026,B
BATCH1009,冷凍水餃,b-1009,10 May 2026,項目2
BATCH1010,冷凍水餃,b-1010,11 Jun 2026,項目2
b-1011,杯裝優格,BATCH1011,20261212,項目3
b-1012,氣泡飲,b-1012,2026-01-13,B
B1013,即食雞胸,BATCH1013,14 Mar 2026,項目2
BATCH1014,蛋捲,b-1014,15 Apr 2026,項目2
b-1015,氣泡飲,BATCH1015,2026-04-16,項目1
BATCH1016,堅果包,b-1016,2026-05-17,項目2
BATCH1017,即食雞胸,BATCH1017,18 Jan 2026,項目2
BATCH1018,即食雞胸,b-1018,19 Feb 2026,項目2
b-1019,能量棒,BATCH1019,20 Mar 2026,B
b-1020,杯裝優格,b-1020,2026-09-21,項目3
BATCH1021,巧克力餅乾,b-1021,2026/10/22,A
BATCH1022,沙拉醬,B1022,2026/11/23,項目2
b-1023,布丁,b-1023,20261224,B
,湯包,b-1024,20260125,項目2
b-1025,原味吐司,b-1025,20260226,
B1026,能量棒,b-1026,20260327,項目3
B1027,鮮奶茶,B1027,2026/4/28,項目3
B1028,原味吐司,B1028,1 Jun 2026,項目1
BATCH1029,杯裝優格,b-1029,2026-06-02,項目1
BATCH1030,蛋捲,b-1030,2026-07-03,項目1
BATCH1031,氣泡飲,B1031,2026/8/4,項目1
b-1032,氣泡飲,BATCH1032,5 Apr 2026,項目3
b-1033,冷凍水餃,B1033,2026-10-06,B
BATCH1034,氣泡飲,b-1034,7 Jun 2026,項目2
B1035,原味吐司,BATCH1035,8 Jan 2026,項目2
